Geo Point;Opérateur de Mobilité;Aménageur;id_borne;nom_borne;numero_rue;libelle_voie;commune;code_postal;code_insee;marque_borne;modele_borne;Interopérabilité;type_chargement;date_mise_en_service;id_prise;ordre_prise;puissance_prise;connecteur_disponible_prise;longitude;latitude;geolocalisation
43.6010829968,1.42637653295;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-015;TOULOUSE - Rue Des Bourrassols;18;Rue Des Bourrassols;Toulouse;31300;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-11-18;FR*M31*E31555*015*2;2;22;EF,T2,T3;1.426377;43.601065;43.601065,1.426377
43.6362950005,1.46218954881;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-016;TOULOUSE - Rue Serge Gainsbourg;;Rue Serge Gainsbourg;Toulouse;31200;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-04-12;FR*M31*E31555*016*2;2;22;EF,T2,T3;1.46219;43.636277;43.636277,1.46219
43.6474479958,1.43275553455;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-019;TOULOUSE - Place Paul Riché;;Place Paul Riché;Toulouse;31200;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-11-12;FR*M31*E31555*019*2;2;22;EF,T2,T3;1.432756;43.64743;43.64743,1.432756
43.6009679987,1.46208854667;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-023;TOULOUSE - Av. Camille Pujol;52;Av. Camille Pujol;Toulouse;31500;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2020-03-02;FR*M31*E31555*023*2;2;22;EF,T2,T3;1.462089;43.60095;43.60095,1.462089
43.6558099998,1.48141355235;Révéo;Toulouse Metropole;STATION-FR-M31-P31561-001;L'UNION - Rue Du Somport Parking Grande Halle;;Rue Du Somport Parking Grande Halle;L'Union;31240;31561;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-01-26;FR*M31*E31561*001*2;2;22;EF,T2,T3;1.481414;43.655792;43.655792,1.481414
43.6697049966,1.42970153742;Révéo;Toulouse Metropole;STATION-FR-M31-P31022-001;AUCAMVILLE - Des Ecoles;;Des Ecoles;Aucamville;31140;31022;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-09-14;FR*M31*E31022*001*1;1;22;EF,T2,T3;1.429702;43.669687;43.669687,1.429702
43.6237842777,1.49710567885;Révéo;Toulouse Metropole;STATION-FR-M31-P31044-002;BALMA-GRAMONT - Av. Georges Pompidou;;Av. Georges Pompidou;Balma;31130;31044;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-09-14;FR*M31*E31044*002*2;2;22;EF,T2,T3;1.497084;43.623793;43.623793,1.497084
43.6684139987,1.37840400216;Révéo;Toulouse Metropole;STATION-FR-M31-P31056-001;BEAUZELLE - Rue Des Pins;;Rue Des Pins;Beauzelle;31700;31056;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-11-26;FR*M31*E31056*001*1;1;22;EF,T2,T3;1.378404;43.668414;43.668414,1.378404
43.7274180004,1.41133100174;Révéo;Toulouse Metropole;STATION-FR-M31-P31091-001;BRUGUIERES - Place De La Republique;;Place De La Republique;Bruguières;31150;31091;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-05-23;FR*M31*E31091*001*1;1;22;EF,T2,T3;1.411331;43.727418;43.727418,1.411331
43.7274359979,1.41133053236;Révéo;Toulouse Metropole;STATION-FR-M31-P31091-001;BRUGUIERES - Place De La Republique;;Place De La Republique;Bruguières;31150;31091;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-05-23;FR*M31*E31091*001*2;2;22;EF,T2,T3;1.411331;43.727418;43.727418,1.411331
43.6114119969,1.3352645116;Révéo;Toulouse Metropole;STATION-FR-M31-P31149-001;COLOMIERS - Rue De Limogne;15;Rue De Limogne;Colomiers;31770;31149;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-01-26;FR*M31*E31149*001*2;2;22;EF,T2,T3;1.335265;43.611394;43.611394,1.335265
