Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0420664U;Ecole maternelle Richelandiere;ECOLE MATERNELLE PUBLIQUE;RICHELANDIERE MATERNELLE;Public;97 rue Richelandière;;;42100;ST ETIENNE;Saint-Etienne;810410.9;6482871.5;EPSG:2154;45.43639035550118;4.4122394137415775;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4363903555,4.41223941374;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-16
0420670A;Ecole maternelle Rivière;ECOLE MATERNELLE PUBLIQUE;RIVIERE MATERNELLE;Public;44 rue Parmentier;;;42100;ST ETIENNE;Saint-Etienne;809457.8;6480573.7;EPSG:2154;45.415855716355935;4.399530240191108;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4158557164,4.39953024019;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-16
0421340D;Ecole primaire privée St Pierre St Paul;ECOLE PRIMAIRE PRIVEE;ST PIERRE ST PAUL;Privé;63 rue Parmentier;;;42100;ST ETIENNE;Saint-Etienne;809590.8;6480351.4;EPSG:2154;45.413833079764835;4.401179993261577;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4138330798,4.40117999326;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-09-01
0421473Y;Ecole primaire Terrenoire Perrottière;ECOLE PRIMAIRE;TERRENOIRE PERROTTIERE PRIMAIRE;Public;Rue des Anciens Combattants d'Algérie;TERRENOIRE;;42100;ST ETIENNE;Saint-Etienne;812759.4;6482351.1;EPSG:2154;45.43132293208575;4.4421503493019365;Correcte;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4313229321,4.4421503493;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1972-06-05
0421654V;Ecole maternelle Champagne;ECOLE MATERNELLE PUBLIQUE;CHAMPAGNE MATERNELLE;Public;14 rue Parmentier;;;42100;ST ETIENNE;Saint-Etienne;809396.9;6480875.9;EPSG:2154;45.41858618455634;4.398820176650485;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4185861846,4.39882017665;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1976-05-31
0421989J;Ecole primaire Jomayère;ECOLE PRIMAIRE;JOMAYERE PRIMAIRE;Public;85 rue Jomayère;;;42100;ST ETIENNE;Saint-Etienne;808109.2;6479947.9;EPSG:2154;45.41043542320877;4.3821505071418585;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4104354232,4.38215050714;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1989-09-01
0422001X;Ecole élémentaire Métare Réjaillère;ECOLE ELEMENTAIRE PUBLIQUE;METARE REJAILLERE ELEMENTAIRE;Public;1  CHEMIN CLAUDE BERTHIER;;;42100;ST ETIENNE;Saint-Etienne;810818.9;6480621.4;EPSG:2154;45.41606659886441;4.4169405300668725;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4160665989,4.41694053007;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1990-09-01
0420384P;Ecole primaire Rochetaillée;ECOLE PRIMAIRE PUBLIQUE;ROCHETAILLEE PRIMAIRE;Public;10  IMPASSE DE L'ECOLE;ROCHETAILLEE;;42100;ST ETIENNE;Saint-Etienne;812998.9;6480160.7;EPSG:2154;45.41156319980773;4.44470028606722;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4115631998,4.44470028607;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-09-01
0420687U;Ecole maternelle Côte Chaude;ECOLE MATERNELLE PUBLIQUE;COTE CHAUDE MATERNELLE;Public;9 impasse Louis Jouvet;;;42000;ST ETIENNE;Saint-Etienne;806434.9;6483809.2;EPSG:2154;45.44546147187213;4.361600413868362;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4454614719,4.36160041387;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-15
0421041D;Collège privé Notre-Dame d'Espérance;COLLEGE PRIVE;NOTRE DAME D'ESPERANCE;Privé;16 rue JEAN FRANCOIS REVOLLIER;;;42000;ST ETIENNE;Saint-Etienne;807645.1;6484934.0;EPSG:2154;45.45539934535039;4.3773301044679025;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4553993454,4.37733010447;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1941-04-10
0421446U;Ecole primaire Maria Callas;ECOLE PRIMAIRE PUBLIQUE;MARIA CALLAS PRI;Public;19 rue Charles Gounod;;;42000;ST ETIENNE;Saint-Etienne;809543.1;6486826.4;EPSG:2154;45.47213628888807;4.4020400346860304;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4721362889,4.40204003469;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1971-06-17
0421647M;Ecole primaire Bergson;ECOLE PRIMAIRE PUBLIQUE;BERGSON PRIMAIRE;Public;8 rue Claude Odde;;;42000;ST ETIENNE;Saint-Etienne;808120.6;6485367.0;EPSG:2154;45.45922289999867;4.383509995424029;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4592229,4.38350999542;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1976-05-31
0421812S;Les Maristes-site Champagnat;ECOLE PRIMAIRE PRIVEE;LES MARISTES-SITE CHAMPAGNAT;Privé;58 rue Henri Déchaud;;;42000;ST ETIENNE;Saint-Etienne;810074.0;6481157.5;EPSG:2154;45.421013130968724;4.4075403687257895;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.421013131,4.40754036873;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1980-09-01
0421951T;Ecole primaire Jules Ferry;ECOLE PRIMAIRE PUBLIQUE;JULES FERRY PRIMAIRE;Public;1  RUE ALEXANDRE POURCEL;;;42100;ST ETIENNE;Saint-Etienne;808912.7;6481408.2;EPSG:2154;45.42345563343371;4.3927502046951385;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4234556334,4.3927502047;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1987-09-01
0422015M;Ecole élémentaire La Terrasse;ECOLE ELEMENTAIRE PUBLIQUE;TERRASSE ELEMENTAIRE;Public;17 rue Léon Lamaizière;;;42000;ST ETIENNE;Saint-Etienne;807864.6;6486151.8;EPSG:2154;45.46632898867095;4.380410430369535;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4663289887,4.38041043037;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1991-09-01
0422027A;Ecole professionnelle privée Hair School;ECOLE 2D DEGRE PROF.PRIVEE;HAIR SCHOOL;Privé;11 rue JEAN-CLAUDE VERPILLEUX;;;42000;ST ETIENNE;Saint-Etienne;809876.2;6483255.1;EPSG:2154;45.43992986834362;4.40548896624776;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4399298683,4.40548896625;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;1991-09-01
0422069W;Ecole élémentaire Les Ovides;ECOLE ELEMENTAIRE APPLICATION;OVIDES ELEMENTAIRE;Public;12 rue des Ovides;;;42100;ST ETIENNE;Saint-Etienne;810753.9;6483062.5;EPSG:2154;45.438054633674014;4.416669530719497;Parfaite;Numéro de rue;153;ECOLE ELEMENTAIRE D APPLICATION;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4380546337,4.41666953072;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1993-09-01
0422086P;Ecole élémentaire Rosa Parks;ECOLE ELEMENTAIRE PUBLIQUE;ROSA PARKS ELEMENTAIRE;Public;9 allée Rachel;;;42100;ST ETIENNE;Saint-Etienne;807975.4;6481421.0;EPSG:2154;45.42371909182554;4.380769546635796;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4237190918,4.38076954664;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1994-09-01
0422145D;Ecole primaire privée du Sacré Coeur;ECOLE PRIMAIRE PRIVEE;SACRÉ COEUR;Privé;171 rue Bergson;;;42000;ST ETIENNE;Saint-Etienne;807873.7;6485542.7;EPSG:2154;45.460843677258445;4.380390609227419;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4608436773,4.38039060923;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1998-09-01
0422155P;Ecole primaire Montchovet;ECOLE PRIMAIRE;MONTCHOVET PRIMAIRE;Public;10 impasse DE LA PALLE;;;42100;ST ETIENNE;Saint-Etienne;811038.9;6481911.2;EPSG:2154;45.42764323329733;4.4200494130770736;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4276432333,4.42004941308;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1999-09-01
0422158T;Lycée polyvalent privé La Salésienne - Lycée des métiers des technologies de la santé, des soins et services aux personnes et aux collectivités;LYC POLYVAL PRIVE DES METIERS;LA SALESIENNE;Privé;35  RUE DE LA RICHELANDIERE;;;42100;ST ETIENNE;Saint-Etienne;809610.1;6483144.0;EPSG:2154;45.438972211515114;4.402060614850185;Correcte;Numéro de rue;306;LYCEE POLYVALENT;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4389722115,4.40206061485;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1999-09-01
0422320U;Ecole secondaire privée Démocratique du Bassin Stéphanois;ECOLE SECONDAIRE PRIVEE;DEMOCRATIQUE DU BASSIN STEPHANOIS;Privé;12 rue PAUL LANGEVIN;;;42000;ST ETIENNE;Saint-Etienne;811958.6;6482261.2;EPSG:2154;45.43064477595155;4.431889823705876;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.430644776,4.43188982371;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2018-02-26
0420058K;Collège Les Champs;COLLEGE;LES CHAMPS;Public;1 rue OLIVIER DE SERRES;;;42000;ST ETIENNE;Saint-Etienne;807502.4;6485898.4;EPSG:2154;45.46410448054007;4.3757195772214725;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4641044805,4.37571957722;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0420924B;Ecole maternelle Ovides;ECOLE MATERNELLE PUBLIQUE;LES OVIDES MATERNELLE;Public;6 rue des Ovides;;;42100;ST ETIENNE;Saint-Etienne;810634.6;6483046.5;EPSG:2154;45.43792984506964;4.4151402062354945;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4379298451,4.41514020624;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-10-05
0420979L;Lycée général et technologique privé Tézenas du Montcel - Lycée des métiers de la gestion et du commerce;LYC GEN TECH PRIVE DES METIERS;TEZENAS DU MONTCEL;Privé;14 place GIRODET;;;42000;ST ETIENNE;Saint-Etienne;807914.2;6484115.5;EPSG:2154;45.447987881905675;4.380589476799199;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4479878819,4.3805894768;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1919-11-08
0421866A;Ecole maternelle Montreynaud St Saëns;ECOLE MATERNELLE PUBLIQUE;MONTREYNAUD ST SAENS MAT;Public;13 rue Jean Sébastien Bach;;;42000;ST ETIENNE;Saint-Etienne;808872.1;6486988.2;EPSG:2154;45.47369996054916;4.3934902489643415;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4736999605,4.39349024896;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1982-09-01
0421908W;Ecole primaire Villeboeuf Le Haut;ECOLE PRIMAIRE PUBLIQUE;VILLEBOEUF LE HAUT PRIMAIRE;Public;9 ter rue Horace Vernet;;;42000;ST ETIENNE;Saint-Etienne;809635.1;6482307.9;EPSG:2154;45.431440665538744;4.402190435579596;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4314406655,4.40219043558;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1985-09-01
0421911Z;Ecole élémentaire Côte Chaude;ECOLE ELEMENTAIRE PUBLIQUE;COTE CHAUDE ELEMENTAIRE;Public;11  RUE DE LA ROCHE DU GEAI;;;42000;ST ETIENNE;Saint-Etienne;806624.0;6483630.3;EPSG:2154;45.44382140264075;4.363979522247504;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4438214026,4.36397952225;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1985-09-01
0421947N;Ecole privée d'esthétique cosmétique Epec Darfeuille;ECOLE 2D DEGRE PROF.PRIVEE;EPEC-DARFEUILLE;Privé;5 place Jean Jaurès;;;42000;ST ETIENNE;Saint-Etienne;808341.4;6483295.7;EPSG:2154;45.44053966110081;4.385869640452595;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4405396611,4.38586964045;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;1986-09-01
0421950S;Ecole primaire Soleysel Descours;ECOLE PRIMAIRE;SOLEYSEL DESCOURS PRIMAIRE;Public;7 rue Saint Ennemond;;;42000;ST ETIENNE;Saint-Etienne;808025.9;6482606.1;EPSG:2154;45.434380832368994;4.381680350995059;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4343808324,4.381680351;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1987-09-01
0420665V;Ecole maternelle Montreynaud-Molina;ECOLE MATERNELLE PUBLIQUE;MONTREYNAUD MOLINA MATERNELLE;Public;9 boulevard Antonio Vivaldi;;;42000;ST ETIENNE;Saint-Etienne;809262.8;6486240.4;EPSG:2154;45.466905157569144;4.3983204266370945;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4669051576,4.39832042664;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-16
0420675F;Ecole maternelle Tardy;ECOLE MATERNELLE PUBLIQUE;TARDY MATERNELLE;Public;2 boulevard Robert Maurice;;;42100;ST ETIENNE;Saint-Etienne;808129.7;6481904.2;EPSG:2154;45.428045123464244;4.382850505083027;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4280451235,4.38285050508;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-16
0420678J;Ecole maternelle Terrasse;ECOLE MATERNELLE PUBLIQUE;TERRASSE MATERNELLE;Public;15 rue Léon Lamaizière;;;42000;ST ETIENNE;Saint-Etienne;807869.4;6486186.7;EPSG:2154;45.46664244660352;4.380479654081542;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4666424466,4.38047965408;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-16
0420991Z;Lycée professionnel privé Le Marais Ste Thérèse - Lycée des métiers des technologies de la précision;LYCEE PROF PRIVE DES METIERS;LE MARAIS SAINTE THERESE;Privé;48 boulevard THIERS;;;42000;ST ETIENNE;Saint-Etienne;808592.3;6484549.7;EPSG:2154;45.45178998887245;4.389360625744274;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4517899889,4.38936062574;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1967-04-12
0421677V;Collège Claude Fauriel;COLLEGE;CLAUDE FAURIEL;Public;24 ter rue ROUGET DE LISLE;;;42000;ST ETIENNE;Saint-Etienne;808470.3;6483571.6;EPSG:2154;45.443003263344345;4.387580161645071;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4430032633,4.38758016165;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1977-03-07
0421807L;Maison Familiale Rurale de Saint-Etienne;MAISON FAMILIALE RURALE;DE ST ETIENNE;Privé;38  RUE DU DOCTEUR MICHELON;;;42100;ST ETIENNE;Saint-Etienne;811669.2;6480921.1;EPSG:2154;45.41862691234718;4.427879468797952;Correcte;Numéro de rue;380;MAISON FAMILIALE RURALE EDUCATION ORIENT;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4186269123,4.4278794688;99;SANS OBJET;03;AGRICULTURE;1981-09-01
0421834R;Ecole primaire privée Sainte Anne;ECOLE PRIMAIRE PRIVEE;STE ANNE;Privé;22 rue ELISEE RECLUS;;;42000;ST ETIENNE;Saint-Etienne;808101.0;6483140.0;EPSG:2154;45.439175809415914;4.3827602737155935;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4391758094,4.38276027372;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;1981-07-17
0421867B;Ecole maternelle Berkeley;ECOLE MATERNELLE PUBLIQUE;BERKELEY MATERNELLE;Public;11  RUE DE LA VAPEUR;;;42100;ST ETIENNE;Saint-Etienne;808909.8;6481971.7;EPSG:2154;45.42852938277232;4.392840221607756;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4285293828,4.39284022161;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1982-09-01
0422310H;Ecole primaire privée Cours La Fontaine;COURS LA FONTAINE;COURS LA FONTAINE;Privé;23 rue Flemming;;;42000;ST ETIENNE;Saint-Etienne;808661.1;6486839.2;EPSG:2154;45.47239197340371;4.390756562705759;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4723919734,4.39075656271;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2016-09-01
