Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0421885W;Ecole primaire privée Les Maristes-site Notre-Dame;ECOLE PRIMAIRE PRIVEE;LES MARISTES-SITE NOTRE-DAME;Privé;10 place DE L'ABBAYE;;;42000;ST ETIENNE;Saint-Etienne;809362.5;6481139.4;EPSG:2154;45.420964001950594;4.398440072168838;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.420964002,4.39844007217;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1983-09-08
0421990K;Ecole élémentaire Montaud;ECOLE ELEMENTAIRE PUBLIQUE;MONTAUD ELEMENTAIRE;Public;2 place Vittone;;;42000;ST ETIENNE;Saint-Etienne;807973.0;6483883.0;EPSG:2154;45.44588537257076;4.381289548293827;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4458853726,4.38128954829;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1989-09-01
0421991L;Ecole élémentaire La Veue;ECOLE ELEMENTAIRE PUBLIQUE;LA VEUE ELEMENTAIRE;Public;7 rue Coraly Royet;;;42100;ST ETIENNE;Saint-Etienne;809181.9;6481091.9;EPSG:2154;45.42056512730075;4.396120447591424;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4205651273,4.39612044759;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1989-09-01
0422000W;Ecole élémentaire Chappe;ECOLE ELEMENTAIRE PUBLIQUE;CHAPPE ELEMENTAIRE;Public;7 rue des Frères Chappe;;;42000;ST ETIENNE;Saint-Etienne;808828.3;6483224.3;EPSG:2154;45.43981971461236;4.392080526955899;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4398197146,4.39208052696;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1990-09-01
0422013K;Ecole élémentaire Montreynaud Molina;ECOLE ELEMENTAIRE PUBLIQUE;MONTREYNAUD MOLINA ELEMENTAIRE;Public;3 rue Franz Schubert;;;42000;ST ETIENNE;Saint-Etienne;809206.5;6486198.4;EPSG:2154;45.46653599720791;4.397590550005067;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4665359972,4.39759055001;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1991-09-01
0422061M;Ecole élémentaire Tardy;ECOLE ELEMENTAIRE PUBLIQUE;TARDY ELEMENTAIRE;Public;2 rue des Ferrandiniers;;;42100;ST ETIENNE;Saint-Etienne;808179.5;6481829.0;EPSG:2154;45.42736022855388;4.383470409494027;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4273602286,4.38347040949;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1993-09-01
0422168D;Ecole primaire privée Ste Blandine;ECOLE PRIMAIRE PRIVEE;SAINTE BLANDINE;Privé;7 ESPACE CHRISTIAN BAIL;TERRENOIRE;;42100;ST ETIENNE;Saint-Etienne;812308.1;6482696.5;EPSG:2154;45.43450666804806;4.436460021291703;Correcte;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.434506668,4.43646002129;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;2000-09-01
0422190C;Ecole professionnelle privée Maison de la Coiffure;ECOLE 2D DEGRE PROF.PRIVEE;MAISON DE LA COIFFURE;Privé;38 rue DES PASSEMENTIERS;;;42100;ST ETIENNE;Saint-Etienne;809169.3;6481003.5;EPSG:2154;45.419771253761525;4.395939382271864;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4197712538,4.39593938227;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2001-09-01
0422242J;Ecole primaire St Victor Le Bréat;ECOLE PRIMAIRE PUBLIQUE;ST VICTOR LE BREAT PRIMAIRE;Public;Route du Breat;;;42100;ST ETIENNE;Saint-Etienne;799391.1;6484214.7;EPSG:2154;45.45016983889674;4.27159014690262;Moyenne;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4501698389,4.2715901469;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2004-09-01
0422323X;Ecole élémentaire privée Luqman;ECOLE ELE PRIVEE LUQMAN;LUQMÂN;Privé;20 rue Paganini;;;42000;ST ETIENNE;Saint-Etienne;809767.6;6486768.1;EPSG:2154;45.47157547282347;4.404899525506129;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4715754728,4.40489952551;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2018-05-29
