Geo Point;Geo Shape;nom;num_station;nb_bornettes;en_service;rue;mot_directeur;no;nrivoli;commune;code_insee;locations_2016;oid;locations_2019
43.6086864892,1.43944808948;"{""type"": ""MultiPoint"", ""coordinates"": [[1.439448089478602, 43.60868648923374]]}";CHAINE;54;18;oui;RUE DE LA CHAINE;CHAINE (RUE DE LA CHAINE);10;3105551844;Toulouse;31555;15522;321;14864
43.6062917135,1.44822915254;"{""type"": ""MultiPoint"", ""coordinates"": [[1.448229152543219, 43.606291713480324]]}";STRASBOURG - JAURES;18;24;oui;BD DE STRASBOURG;STRASBOURG (BD DE STRASBOURG);4;3105558328;Toulouse;31555;40602;326;34029
43.6051357744,1.44228102934;"{""type"": ""MultiPoint"", ""coordinates"": [[1.442281029336915, 43.60513577442965]]}";LOIS;6;20;oui;RUE DES LOIS;LOIS (RUE DES LOIS);5;3105555304;Toulouse;31555;4839;327;27994
43.6090485214,1.44269350834;"{""type"": ""MultiPoint"", ""coordinates"": [[1.442693508344861, 43.60904852142666]]}";SAINT SERNIN  -  MERLY;56;14;oui;RUE MERLY;MERLY (RUE MERLY);1;3105555896;Toulouse;31555;11912;329;7972
43.6064117784,1.4477401399;"{""type"": ""MultiPoint"", ""coordinates"": [[1.447740139903808, 43.60641177843142]]}";STRASBOURG  - SARDANE;17;25;oui;BD DE STRASBOURG;STRASBOURG (BD DE STRASBOURG);7;3105558328;Toulouse;31555;25938;331;21774
43.6034948597,1.43608294062;"{""type"": ""MultiPoint"", ""coordinates"": [[1.436082940622407, 43.60349485968739]]}";PLACE SAINT PIERRE;28;22;oui;PL SAINT PIERRE;PIERRE (PL SAINT PIERRE);6;3105557948;Toulouse;31555;36588;337;60511
43.6032144995,1.44812935019;"{""type"": ""MultiPoint"", ""coordinates"": [[1.44812935018756, 43.6032144995481]]}";ESPACE SAINT GEORGES;8;24;oui;RUE PAUL VIDAL;VIDAL (RUE PAUL VIDAL);19;3105556660;Toulouse;31555;26973;338;23141
43.6051683858,1.44939724813;"{""type"": ""MultiPoint"", ""coordinates"": [[1.449397248134246, 43.60516838575614]]}";CARNOT  - PERI;19;25;oui;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);62;3105555132;Toulouse;31555;38234;341;25991
43.5947749915,1.44399954164;"{""type"": ""MultiPoint"", ""coordinates"": [[1.44399954163806, 43.59477499152477]]}";PLACE DU SALIN;48;22;oui;PL DU SALIN;SALIN (PL DU SALIN);18;3105558116;Toulouse;31555;28810;344;26765
43.600373178,1.44490268995;"{""type"": ""MultiPoint"", ""coordinates"": [[1.444902689951855, 43.60037317800606]]}";PLACE ESQUIROL;10;18;oui;PL ETIENNE ESQUIROL;ESQUIROL (PL ETIENNE ESQUIROL);15;3105553084;Toulouse;31555;102470;349;42217
43.5981319833,1.43140332849;"{""type"": ""MultiPoint"", ""coordinates"": [[1.431403328490839, 43.5981319833083]]}";PLACE INT ST CYPRIEN DARRE;78;17;oui;PL INTERIEURE ST CYPRIEN;CYPRIEN (PL INTERIEURE ST CYPRIEN);14;3105554336;Toulouse;31555;38713;353;37028
43.6106821228,1.4436208413;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443620841297195, 43.61068212276846]]}";CONCORDE -  ARCOLE;58;25;oui;RUE DE LA CONCORDE;CONCORDE (RUE DE LA CONCORDE);4;3105552256;Toulouse;31555;56118;369;49395
43.6145965267,1.44353763512;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443537635121199, 43.614596526676856]]}";PRINTEMPS - INGRES;93;15;oui;RUE DU PRINTEMPS;PRINTEMPS (RUE DU PRINTEMPS);57;3105557140;Toulouse;31555;18599;371;17487
43.6131507875,1.44133703617;"{""type"": ""MultiPoint"", ""coordinates"": [[1.44133703617336, 43.613150787524646]]}";CHALETS;92;13;oui;RUE DES CHALETS;CHALETS (RUE DES CHALETS);31;3105551852;Toulouse;31555;16138;372;12121
43.5932599871,1.4350626278;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435062627804638, 43.59325998710389]]}";COURS DILLON;71;24;oui;RUE LAGANNE;LAGANNE (RUE LAGANNE);3;3105554948;Toulouse;31555;16200;382;12543
43.5857568059,1.44743391705;"{""type"": ""MultiPoint"", ""coordinates"": [[1.447433917047822, 43.58575680588409]]}";MAISON D'ARRET ST MICHEL;128;20;oui;GRANDE-RUE SAINT MICHEL;MICHEL (GRANDE-RUE SAINT MICHEL);18B;3105557916;Toulouse;31555;35022;385;30494
43.6074815108,1.45171127289;"{""type"": ""MultiPoint"", ""coordinates"": [[1.451711272893718, 43.60748151081649]]}";JAURES -  BACHELIER;38;20;oui;ALL JEAN JAURES;JAURES (ALL JEAN JAURES);60;3105554600;Toulouse;31555;20931;391;20986
43.6190127432,1.45680421485;"{""type"": ""MultiPoint"", ""coordinates"": [[1.456804214846672, 43.61901274323174]]}";EGLISE BONNEFOY;134;20;oui;ALL DE L EGLISE BONNEFOY;BONNEFOY (ALL DE L EGLISE BONNEFOY);8;3105552912;Toulouse;31555;16169;392;19117
43.6229744495,1.43445042874;"{""type"": ""MultiPoint"", ""coordinates"": [[1.434450428744691, 43.62297444948876]]}";MINIMES - BAQUE;132;15;oui;AV DES MINIMES;MINIMES (AV DES MINIMES);101;3105555956;Toulouse;31555;9271;394;11018
43.5881822541,1.44644310151;"{""type"": ""MultiPoint"", ""coordinates"": [[1.446443101507883, 43.58818225405032]]}";ST MICHEL -  NOTRE DAME;116;15;oui;GRANDE-RUE SAINT MICHEL;MICHEL (GRANDE-RUE SAINT MICHEL);50;3105557916;Toulouse;31555;19568;402;20282
